url,title,author,source,tags,date_published,num_shares,quote,twitter_source
http://www.thetakeaway.org/story/retro-report-origins-anti-vaccine-movement/,Retro Report: The Origins of The Anti-Vaccine Movement,Bonnie Betram,WNYC,"[""anti-vaccine"", ""vaccine""]",02-02-2015,4,,true
http://www.washingtonpost.com/opinions/why-i-changed-my-mind-about-vaccinating-my-children/2015/02/06/8ccd3076-abd6-11e4-9c91-e9d2f9fde644_story.html,I used to be a vaccine skeptic. Now I'm a believer.,Gal Adam Spinrad,The Washington Post,"[""anti-vaccine"", ""vaccine""]",02-06-2015,10,,true
http://america.aljazeera.com/watch/shows/live-news/2015/2/measles-outbreak-spreading-across-the-country.html,Measles outbreak spreading across the country,John Terrett,Al Jazeera America,"[""measles"", ""outbreak""]",02-05-2015,7,,true
http://www.nytimes.com/interactive/2015/02/02/us/measles-facts.html?smid=tw-nytimes,Facts About the Measles Outbreak,Josh Keller,The New York Times,"[""vaccine"", ""measles"", ""outbreak"", ""data""]",02-02-2015,25,,true
http://www.forbes.com/sites/emilywillingham/2013/07/21/the-price-of-the-autism-measles-panic-15-years-later/,"The Price Of The Autism-Measles Panic, 15 Years Later",Emily Willingham,Forbes,"[""healthcare"", ""measles"", ""autism""]",07-21-2013,21,,
http://www.theverge.com/2013/10/21/4767530/vaccine-deniers-inside-the-dumb-dangerous-new-fad,"Vaccine deniers: inside the dumb, dangerous new fad",Lessley Anderson,The Verge,"[""anti-vaccine"", ""vaccine"", ""denialism""]",10-21-2013,37,,
http://discovermagazine.com/2009/jun/06-why-does-vaccine-autism-controversy-live-on,Why Does the Vaccine/Autism Controversy Live On?,Chris Mooney,Discover Magazine,"[""vaccine"", ""autism""]",05-06-2009,3,,
http://www.vox.com/2015/2/7/7993289/vaccine-beliefs,Debunking vaccine junk science won't change people's minds. Here's what will.,Julia Belluz,Vox.com,"[""vaccine"", ""anti-vaxxer"", ""vaccine delayers"", ""denialism""]",02-07-2015,9,,true
http://www.vox.com/2015/2/6/7988715/the-vaccine-delayers-they-hate-anti-vaxxers-but-dont-quite-vaccinate,The vaccine delayers: They hate anti-vaxxers - but don't quite vaccinate on time,Julia Belluz,Vox.com,"[""vaccine"", ""anti-vaxxer"", ""vaccine delayers"", ""herd immunity""]",02-06-2015,19,,true
http://www.slate.com/articles/health_and_science/science_of_longevity/2013/09/tim_minchin_s_storm_critique_of_alternative_medicine_and_defense_of_reason.html?wpsrc=sh_all_dt_tw_top,The Best Critique of Alternative Medicine Ever,Laura Helmuth,Slate,"[""alternative medicine"", ""healthcare"", ""anti-vaccine""]",,22,,
http://www.vox.com/cards/vaccines,Everything you need to know about vaccines,German Lopez,Vox.com,"[""vaccine"", ""autism"", ""smallpox""]",02-07-2015,14,,
http://www.theatlantic.com/politics/archive/2015/02/cowpox-and-the-constitution/385245/,Cowpox and the Constitution,Garrett Epps,The Atlantic,"[""denialism"", ""vaccine"", ""measles"", ""disneyland"", ""outbreak"", ""anti-vaxxer"", ""smallpox""]",02-06-2015,28,,true
http://www.theatlantic.com/education/archive/2015/02/schools-may-solve-the-anti-vaccine-parenting-deadlock/385208/?utm_source=SFTwitter,How Schools Are Dealing With Anti-Vaccine Parents,Jacoba Urist,The Atlantic,"[""vaccine"", ""immunization"", ""anti-vaccine"", ""schools""]",02-05-2015,11,,true
http://www.wsj.com/articles/how-anti-vaccination-trends-vex-herd-immunity-1423241871,How Anti-Vaccination Trends Vex Herd Immunity,Jo Craven McGinty,The Wall Street Journal,"[""herd immunity""]",02-06-2015,24,,true
http://fivethirtyeight.com/datalab/americans-and-scientists-agree-more-on-vaccines-than-on-other-hot-button-issues/,Americans And Scientists Agree More On Vaccines Than On Other Hot Button Issues,Harry Enten,FiveThirtyEight,"[""vaccine"", ""partisan"", ""measles"", ""outbreak"", ""data""]",02-04-2015,33,,true
http://www.latimes.com/local/abcarian/la-me-abcarian-vaccinations-20150206-column.html,"From young cancer patient's parents, a special plea to vaccinate",Robin Abcarian,Los Angeles Times,"[""vaccine"", ""immunization"", ""herd immunity""]",02-05-2015,29,,true
http://www.newyorker.com/science/maria-konnikova/i-dont-want-to-be-right,I Don't Want to Be Right,Maria Konnkova,The New Yorker,"[""vaccine"", ""autism"", ""partisan""]",05-16-2014,21,,
http://www.npr.org/blogs/health/2015/02/06/384322665/to-get-parents-to-vaccinate-their-kids-dont-ask-just-tell?utm_source=twitter.com,"To Get Parents To Vaccinate Their Kids, Don't Ask. Just Tell.",Patti Neighmond,NPR,"[""measles"", ""outbreak"", ""vaccine"", ""immunization"", ""public health""]",02-06-2015,8,,true
http://www.vox.com/2015/2/5/7986249/adult-vaccine,"Every vaccine you should have as an adult, in one chart",Julia Belluz,Vox.com,"[""vaccine"", ""disneyland"", ""measles"", ""outbreak"", ""autism""]",02-05-2015,13,,true
http://www.politico.com/magazine/story/2015/02/vaccines-bipartisan-support-114915.html,Vaccines Aren't Partisan,Sarah Despres,Politico,"[""vaccine"", ""partisan""]",02-04-2015,5,,
http://thinkprogress.org/justice/2014/07/02/3455366/the-most-partisan-justice/,The Most Partisan Supreme Court Justice Of All,Ian Millhiser,ThinkProgress,"[""partisan"", ""healthcare""]",07-02-2014,6,,
http://www.vox.com/2015/2/5/7986501/network-neutrality-partisan-issue,Is network neutrality becoming a partisan issue?,Timothy B. Lee,Vox.com,"[""partisan"", ""net neutrality""]",02-05-2014,21,,true
http://www.washingtonpost.com/blogs/plum-line/wp/2015/01/22/lets-stop-pretending-israel-isnt-a-partisan-issue/,Let's stop pretending Israel isn't a partisan issue,Paul Waldman,The Washington Post,"[""partisan"", ""israel""]",01-22-2015,15,,true
http://time.com/3684956/congress-immigration-funding/,Partisan Lines Drawn in Congress Over Immigration,Alex Rogers,Time,"[""partisan"", ""immigration""]",01-27-2015,33,,
http://www.newsweek.com/why-net-neutrality-fight-isnt-over-305060,Why the Net Neutrality Fight Isn't Over,Lauren Walker,Newsweek,"[""net neutrality"", ""fcc""]",02-06-2015,6,,true
http://www.usatoday.com/story/tech/2015/02/05/net-neutrality-fcc-chairman-proposal/22920283/?hootPostID=4344060a79067f3cdcd5b2bd0f125b72,Q&A: The ins and outs of net neutrality,Roger Yu,USA Today,"[""net neutrality"", ""fcc""]",02-05-2015,31,,
http://www.economist.com/news/leaders/21641201-why-network-neutrality-such-intractable-problemand-how-solve-it-gordian-net?fsrc=scn/tw/te/pe/ed/gordiannet,Why network neutrality is such an intractable problem - and how to solve it,,The Economist,"[""net neutrality""]",01-31-2015,22,,
http://www.washingtonpost.com/blogs/worldviews/wp/2015/02/07/germany-is-battling-a-measles-outbreak-that-is-10-times-worse-than-the-one-in-the-u-s/,Germany is battling a measles outbreak that is 10 times worse than the one in the U.S.,Rick Noack,The Washington Post,"[""measles"", ""outbreak""]",02-07-2015,2,,true
http://www.newsweek.com/another-ebola-outbreak-inevitable-304801,Another Ebola Outbreak 'Inevitable',Catherine Phillips,Newsweek,"[""ebola"", ""outbreak""]",02-06-2015,28,,true
http://www.nytimes.com/2015/01/31/opinion/how-bad-data-fed-the-ebola-epidemic.html,How Bad Data Fed the Ebola Epidemic,Rachel Glennerster,The New York Times,"[""ebola"", ""outbreak"", ""data""]",01-30-2015,30,,true
http://www.npr.org/2015/02/06/384084426/out-of-the-shadows-tv-star-shines-a-light-on-immigration,"Out Of The Shadows, TV Star Shines A Light On Immigration",Michael Martin,NPR,"[""immigration""]",02-06-2015,8,,true
http://www.wsj.com/articles/gops-immigration-strategy-is-at-risk-1423183068,GOP's Immigration Strategy Is at Risk,Kristina Peterson,The Wall Street Journal,"[""immigration""]",02-05-2015,1,,true
http://www.washingtonpost.com/blogs/fact-checker/wp/2015/02/06/is-there-a-link-between-the-measles-outbreak-and-illegal-immigration/,Is there a link between the measles outbreak and illegal immigration?,Glenn Kessler,The Washington Post,"[""measles"", ""immigration"", ""outbreak""]",02-06-2015,14,,true
http://www.nytimes.com/2015/02/07/us/strains-grow-between-israel-and-many-jews-in-the-us.html,Strains Grow Between Israel and Many Jews in the U.S.,Samuel G. Freedman,The New York Times,"[""israel""]",02-06-2015,9,,true
http://www.brookings.edu/blogs/markaz/posts/2015/02/06-israel-changing-middle-east,Israel and the Changing Middle East,Itamar Rabinovich,Brookings Institution,"[""israel""]",02-06-2015,12,,
http://www.politico.com/story/2015/02/benjamin-netanyahu-israel-congress-114965.html,Benjamin Netanyahu's side strikes back,Jake Sherman,Politico,"[""israel""]",02-06-2015,7,,
http://www.forbes.com/sites/davidshaywitz/2015/02/07/the-emerging-bull-market-for-digital-healthcare-journalism/,The Emerging Bull Market For Digital Healthcare Journalism,David Shaywitz,Forbes,"[""healthcare""]",02-07-2015,24,,true
http://www.newyorker.com/business/currency/what-big-data-cant-tell-us-about-health-care,What Big Data Can't Tell Us About Health Care,Lisa Rosenbaum,The New Yorker,"[""healthcare"", ""data""]",04-23-2014,18,,